City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yanliang,80,CN,<class 'datetime.date'>,93,34.66,109.22,288.15,1.0
Solnechnyy,0,RU,<class 'datetime.date'>,69,50.72,136.64,271.12,3.72
Oga,69,NG,<class 'datetime.date'>,39,8.18,5.65,305.62,1.74
Pisco,0,PE,<class 'datetime.date'>,30,-13.71,-76.2,298.15,5.1
Auki,38,NG,<class 'datetime.date'>,7,12.18,6.51,308.92,1.43
Miura,75,JP,<class 'datetime.date'>,88,35.17,139.64,290.93,3.1
Atar,0,MR,<class 'datetime.date'>,11,20.52,-13.05,306.15,4.1
Nome,1,US,<class 'datetime.date'>,44,30.04,-94.42,299.26,5.7
Shakawe,98,BW,<class 'datetime.date'>,42,-18.36,21.84,299.22,0.72
Lavrentiya,88,RU,<class 'datetime.date'>,89,65.58,-170.99,251.42,2.55
Laredo,1,US,<class 'datetime.date'>,35,27.51,-99.51,304.15,8.7
Bambous Virieux,75,MU,<class 'datetime.date'>,78,-20.34,57.76,301.15,8.2
Imbituba,20,BR,<class 'datetime.date'>,45,-28.24,-48.67,301.15,3.6
Comodoro Rivadavia,0,AR,<class 'datetime.date'>,39,-45.87,-67.48,292.15,3.6
Turayf,40,SA,<class 'datetime.date'>,70,31.68,38.65,280.15,7.2
Moron,65,VE,<class 'datetime.date'>,49,10.49,-68.2,305.42,3.56
Tiksi,31,RU,<class 'datetime.date'>,70,71.64,128.87,263.02,2.51
Campbell,20,US,<class 'datetime.date'>,59,37.29,-121.95,292.59,2.6
Qaqortoq,0,GL,<class 'datetime.date'>,41,60.72,-46.03,279.15,3.1
Vaitape,98,PF,<class 'datetime.date'>,74,-16.52,-151.75,301.52,2.22
Nisia Floresta,40,BR,<class 'datetime.date'>,70,-6.09,-35.21,303.15,6.7
Danielskuil,42,ZA,<class 'datetime.date'>,65,-28.19,23.54,289.42,5.98
Olinda,75,EC,<class 'datetime.date'>,74,-2.03,-79.75,303.15,3.6
Gat,0,SN,<class 'datetime.date'>,60,14.69,-16.54,297.15,6.7
Sattahip,20,TH,<class 'datetime.date'>,74,12.67,100.9,304.26,4.6
Calbuco,90,CL,<class 'datetime.date'>,76,-41.77,-73.13,284.15,3.6
Mariinsk,33,RU,<class 'datetime.date'>,86,56.21,87.75,268.32,1.49
Hvide Sande,0,DK,<class 'datetime.date'>,50,56.01,8.13,289.15,2.6
Diego de Almagro,0,CL,<class 'datetime.date'>,43,-26.39,-70.05,294.62,3.72
Adamovka,99,RU,<class 'datetime.date'>,37,51.52,59.94,282.12,2.9
Zyryanka,82,RU,<class 'datetime.date'>,92,65.73,150.89,266.92,4.14
Simao,1,CN,<class 'datetime.date'>,43,22.76,100.79,293.32,0.59
Oranjemund,0,ZA,<class 'datetime.date'>,84,-28.55,16.43,289.02,8.71
Nha Trang,20,VN,<class 'datetime.date'>,74,12.24,109.19,302.15,2.6
Sambava,100,MG,<class 'datetime.date'>,94,-14.27,50.17,296.12,1.21
Mugur-Aksy,72,RU,<class 'datetime.date'>,92,50.38,90.44,261.72,2.45
Kattivakkam,20,IN,<class 'datetime.date'>,79,13.22,80.32,304.15,3.6
Columbus,1,US,<class 'datetime.date'>,22,32.46,-84.99,297.04,3.1
Pavlysh,100,UA,<class 'datetime.date'>,40,48.92,33.36,284.62,2.64
Celestun,0,MX,<class 'datetime.date'>,57,20.87,-90.4,300.02,2.74
Lima,3,PE,<class 'datetime.date'>,73,-12.06,-77.04,297.59,4.6
Salcininkai,75,LT,<class 'datetime.date'>,87,54.3,25.38,282.59,3.6
Grindavik,75,IS,<class 'datetime.date'>,70,63.84,-22.43,281.15,5.1
Narsaq,0,GL,<class 'datetime.date'>,41,60.91,-46.05,279.15,3.1
Santa Cruz,1,US,<class 'datetime.date'>,55,36.97,-122.03,292.59,7.57
Tezu,1,IN,<class 'datetime.date'>,45,27.93,96.16,293.52,1.94
Kurchum,97,KZ,<class 'datetime.date'>,62,48.57,83.65,277.62,4.31
Faanui,98,PF,<class 'datetime.date'>,74,-16.48,-151.75,301.52,2.22
Sinnamary,84,GF,<class 'datetime.date'>,74,5.38,-52.96,301.02,6.28
Hofn,100,IS,<class 'datetime.date'>,84,64.25,-15.21,272.72,2.28
Palmer,20,AU,<class 'datetime.date'>,87,-34.85,139.16,285.93,2.6
Slave Lake,40,CA,<class 'datetime.date'>,17,55.28,-114.77,285.15,2.6
Laguna,40,MX,<class 'datetime.date'>,37,27.52,-110.01,301.15,5.1
Berlevag,40,NO,<class 'datetime.date'>,55,70.86,29.09,277.15,12.3
Egvekinot,94,RU,<class 'datetime.date'>,84,66.32,-179.17,255.32,3.13
Nanortalik,0,GL,<class 'datetime.date'>,74,60.14,-45.24,273.32,5.99
Geraldton,20,CA,<class 'datetime.date'>,55,49.72,-86.95,277.15,5.7
Flinders,100,AU,<class 'datetime.date'>,100,-34.58,150.85,293.71,1.13
Marsa Matruh,40,EG,<class 'datetime.date'>,55,31.35,27.25,289.15,5.7
Rodrigues Alves,75,BR,<class 'datetime.date'>,74,-7.74,-72.65,304.15,2.1
Ca Mau,36,VN,<class 'datetime.date'>,73,9.18,105.15,301.22,1.94
Longyearbyen,0,NO,<class 'datetime.date'>,40,78.22,15.63,265.15,8.2
Polson,20,US,<class 'datetime.date'>,60,47.69,-114.16,287.04,2.6
Longhua,10,CN,<class 'datetime.date'>,62,29.21,106.21,294.42,1.41
Hasaki,75,JP,<class 'datetime.date'>,100,35.73,140.83,286.15,1.0
Mendi,56,ET,<class 'datetime.date'>,23,9.8,35.1,300.02,0.72
Norman,1,US,<class 'datetime.date'>,47,35.22,-97.44,300.15,6.7
Ust-Tsilma,100,RU,<class 'datetime.date'>,91,65.44,52.15,276.82,3.83
Bom Jesus,40,BR,<class 'datetime.date'>,70,-5.99,-35.58,303.15,5.1
Pascagoula,1,US,<class 'datetime.date'>,25,30.37,-88.56,298.15,2.1
Dongsheng,32,CN,<class 'datetime.date'>,79,29.72,112.52,290.42,2.42
Sao Filipe,0,CV,<class 'datetime.date'>,82,14.9,-24.5,295.12,7.79
Constitucion,90,MX,<class 'datetime.date'>,9,23.99,-104.67,299.26,3.1
Konstantinovka,71,MD,<class 'datetime.date'>,48,47.99,28.86,283.71,0.89
Manoel Urbano,100,BR,<class 'datetime.date'>,63,-8.84,-69.26,305.52,1.78
Beian,75,NO,<class 'datetime.date'>,87,63.66,9.57,282.04,5.1
Sorong,100,ID,<class 'datetime.date'>,93,-0.86,131.25,298.12,0.73
Vilhena,75,BR,<class 'datetime.date'>,62,-12.74,-60.15,303.15,4.1
Lasa,20,CY,<class 'datetime.date'>,58,34.92,32.53,288.15,5.1
Halifax,90,CA,<class 'datetime.date'>,87,44.65,-63.58,292.04,8.2
Tautira,75,PF,<class 'datetime.date'>,78,-17.73,-149.15,301.15,0.5
Montgomery,1,US,<class 'datetime.date'>,33,32.37,-86.3,297.59,1.5
Jardim,100,BR,<class 'datetime.date'>,56,-21.48,-56.15,304.72,3.02
San Giovanni Rotondo,92,IT,<class 'datetime.date'>,58,41.71,15.73,288.71,4.12
Niquelandia,2,BR,<class 'datetime.date'>,53,-14.47,-48.46,303.82,0.66
Labuhan,77,ID,<class 'datetime.date'>,93,-2.54,115.51,296.62,1.2
Faya,0,SA,<class 'datetime.date'>,77,18.39,42.45,292.15,3.6
Nuuk,75,GL,<class 'datetime.date'>,64,64.17,-51.74,276.15,6.7
Pachperwa,100,IN,<class 'datetime.date'>,26,27.52,82.65,304.52,2.92
Oum Hadjer,38,TD,<class 'datetime.date'>,7,13.3,19.7,309.62,4.17
Quelimane,20,MZ,<class 'datetime.date'>,78,-17.88,36.89,298.15,2.6
Itarema,96,BR,<class 'datetime.date'>,86,-2.92,-39.92,300.92,3.31
Luderitz,0,NA,<class 'datetime.date'>,72,-26.65,15.16,290.15,7.2
